rows,cols,vehicles,hub_ratio,variance,method,iteration,best_fitness
8,8,10,9.0,0.5,qpso,11,192645.1474
8,8,10,9.0,0.5,qpso,12,192313.409
8,8,10,9.0,0.5,qpso,13,192208.1646
8,8,10,9.0,0.5,qpso,14,192208.1646
8,8,10,9.0,0.5,qpso,15,192208.1646
8,8,10,9.0,0.5,qpso,16,192208.1646
8,8,10,9.0,0.5,qpso,17,192208.1646
8,8,10,9.0,0.5,qpso,18,191984.5435
8,8,10,9.0,0.5,qpso,19,191984.5435
8,8,10,9.0,0.5,qpso,20,191984.5435
8,8,10,9.0,0.5,pso,0,200365.9211
8,8,10,9.0,0.5,pso,1,199328.8304
8,8,10,9.0,0.5,pso,2,197422.079
8,8,10,9.0,0.5,pso,3,197422.079
8,8,10,9.0,0.5,pso,4,195845.3355
8,8,10,9.0,0.5,pso,5,194715.0305
8,8,10,9.0,0.5,pso,6,193213.7697
8,8,10,9.0,0.5,pso,7,193213.7697
8,8,10,9.0,0.5,pso,8,193213.7697
8,8,10,9.0,0.5,pso,9,192162.512
8,8,10,9.0,0.5,pso,10,192162.512
8,8,10,9.0,0.5,pso,11,192162.512
8,8,10,9.0,0.5,pso,12,191770.0695
8,8,10,9.0,0.5,pso,13,191117.3197
8,8,10,9.0,0.5,pso,14,191117.3197
8,8,10,9.0,0.5,pso,15,191117.3197
8,8,10,9.0,0.5,pso,16,191117.3197
8,8,10,9.0,0.5,pso,17,191117.3197
8,8,10,9.0,0.5,pso,18,191117.3197
8,8,10,9.0,0.5,pso,19,191117.3197
8,8,10,9.0,0.5,pso,20,190969.7466
8,8,10,9.0,0.5,ga,0,200365.9211
8,8,10,9.0,0.5,ga,1,200365.9211
8,8,10,9.0,0.5,ga,2,200365.9211
8,8,10,9.0,0.5,ga,3,195963.8324
8,8,10,9.0,0.5,ga,4,195963.8324
8,8,10,9.0,0.5,ga,5,195963.8324
8,8,10,9.0,0.5,ga,6,194400.1276
8,8,10,9.0,0.5,ga,7,194400.1276
8,8,10,9.0,0.5,ga,8,194400.1276
8,8,10,9.0,0.5,ga,9,194400.1276
8,8,10,9.0,0.5,ga,10,194400.1276
8,8,10,9.0,0.5,ga,11,194370.6109
8,8,10,9.0,0.5,ga,12,194370.6109
8,8,10,9.0,0.5,ga,13,194195.324
8,8,10,9.0,0.5,ga,14,194195.324
8,8,10,9.0,0.5,ga,15,194172.9107
8,8,10,9.0,0.5,ga,16,194172.9107
8,8,10,9.0,0.5,ga,17,194172.9107
8,8,10,9.0,0.5,ga,18,194172.9107
8,8,10,9.0,0.5,ga,19,194172.9107
8,8,10,9.0,0.5,ga,20,194172.9107
8,8,20,0.0,0.1,qpso,0,228758.6751
8,8,20,0.0,0.1,qpso,1,228758.6751
8,8,20,0.0,0.1,qpso,2,228758.6751
8,8,20,0.0,0.1,qpso,3,228758.6751
8,8,20,0.0,0.1,qpso,4,228758.6751
8,8,20,0.0,0.1,qpso,5,228758.6751
8,8,20,0.0,0.1,qpso,6,228758.6751
8,8,20,0.0,0.1,qpso,7,228758.6751
8,8,20,0.0,0.1,qpso,8,228758.6751
8,8,20,0.0,0.1,qpso,9,228758.6751
8,8,20,0.0,0.1,qpso,10,228758.6751
8,8,20,0.0,0.1,qpso,11,228758.6751
8,8,20,0.0,0.1,qpso,12,228758.6751
8,8,20,0.0,0.1,qpso,13,228758.6751
8,8,20,0.0,0.1,qpso,14,228758.6751
8,8,20,0.0,0.1,qpso,15,228758.6751
8,8,20,0.0,0.1,qpso,16,228758.6751
8,8,20,0.0,0.1,qpso,17,228758.6751
8,8,20,0.0,0.1,qpso,18,228758.6751
8,8,20,0.0,0.1,qpso,19,228758.6751
8,8,20,0.0,0.1,qpso,20,228758.6751
8,8,20,0.0,0.1,pso,0,228758.6751
8,8,20,0.0,0.1,pso,1,228758.6751
8,8,20,0.0,0.1,pso,2,228758.6751
8,8,20,0.0,0.1,pso,3,228758.6751
8,8,20,0.0,0.1,pso,4,228758.6751
8,8,20,0.0,0.1,pso,5,228758.6751
8,8,20,0.0,0.1,pso,6,228758.6751
8,8,20,0.0,0.1,pso,7,228758.6751
8,8,20,0.0,0.1,pso,8,228758.6751
8,8,20,0.0,0.1,pso,9,228758.6751
8,8,20,0.0,0.1,pso,10,228758.6751
8,8,20,0.0,0.1,pso,11,228758.6751
8,8,20,0.0,0.1,pso,12,228758.6751
8,8,20,0.0,0.1,pso,13,228758.6751
8,8,20,0.0,0.1,pso,14,228758.6751
8,8,20,0.0,0.1,pso,15,228758.6751
8,8,20,0.0,0.1,pso,16,228758.6751
8,8,20,0.0,0.1,pso,17,228758.6751
8,8,20,0.0,0.1,pso,18,228758.6751
8,8,20,0.0,0.1,pso,19,228758.6751
8,8,20,0.0,0.1,pso,20,228758.6751
8,8,20,0.0,0.1,ga,0,228758.6751
8,8,20,0.0,0.1,ga,1,228758.6751
8,8,20,0.0,0.1,ga,2,228758.6751
8,8,20,0.0,0.1,ga,3,228758.6751
8,8,20,0.0,0.1,ga,4,228758.6751
8,8,20,0.0,0.1,ga,5,228758.6751
8,8,20,0.0,0.1,ga,6,228758.6751
8,8,20,0.0,0.1,ga,7,228758.6751
8,8,20,0.0,0.1,ga,8,228758.6751
8,8,20,0.0,0.1,ga,9,228758.6751
8,8,20,0.0,0.1,ga,10,228758.6751
8,8,20,0.0,0.1,ga,11,228758.6751
8,8,20,0.0,0.1,ga,12,228758.6751
8,8,20,0.0,0.1,ga,13,228758.6751
8,8,20,0.0,0.1,ga,14,228758.6751
8,8,20,0.0,0.1,ga,15,228724.0297
8,8,20,0.0,0.1,ga,16,228724.0297
8,8,20,0.0,0.1,ga,17,228724.0297
8,8,20,0.0,0.1,ga,18,228724.0297
8,8,20,0.0,0.1,ga,19,228724.0297
8,8,20,0.0,0.1,ga,20,228724.0297
8,8,20,0.0,0.5,qpso,0,263380.8467
8,8,20,0.0,0.5,qpso,1,263380.8467
8,8,20,0.0,0.5,qpso,2,263380.8467
8,8,20,0.0,0.5,qpso,3,263380.8467
8,8,20,0.0,0.5,qpso,4,263380.8467
8,8,20,0.0,0.5,qpso,5,263380.8467
8,8,20,0.0,0.5,qpso,6,263380.8467
8,8,20,0.0,0.5,qpso,7,263380.8467
8,8,20,0.0,0.5,qpso,8,263380.8467
8,8,20,0.0,0.5,qpso,9,263380.8467
8,8,20,0.0,0.5,qpso,10,263367.0175
8,8,20,0.0,0.5,qpso,11,263367.0175
8,8,20,0.0,0.5,qpso,12,263367.0175
8,8,20,0.0,0.5,qpso,13,263367.0175
8,8,20,0.0,0.5,qpso,14,263188.9093
8,8,20,0.0,0.5,qpso,15,263188.9093
8,8,20,0.0,0.5,qpso,16,263188.9093
8,8,20,0.0,0.5,qpso,17,262902.9418
8,8,20,0.0,0.5,qpso,18,262902.9418
8,8,20,0.0,0.5,qpso,19,262839.5971
8,8,20,0.0,0.5,qpso,20,262839.5971
8,8,20,0.0,0.5,pso,0,263380.8467
8,8,20,0.0,0.5,pso,1,263380.8467
8,8,20,0.0,0.5,pso,2,263380.8467
8,8,20,0.0,0.5,pso,3,263380.8467
8,8,20,0.0,0.5,pso,4,263380.8467
8,8,20,0.0,0.5,pso,5,263380.8467
8,8,20,0.0,0.5,pso,6,263380.8467
8,8,20,0.0,0.5,pso,7,263380.8467
8,8,20,0.0,0.5,pso,8,263380.8467
8,8,20,0.0,0.5,pso,9,263380.8467
8,8,20,0.0,0.5,pso,10,263380.8467
8,8,20,0.0,0.5,pso,11,263380.8467
8,8,20,0.0,0.5,pso,12,263380.8467
8,8,20,0.0,0.5,pso,13,263380.8467
8,8,20,0.0,0.5,pso,14,263380.8467
8,8,20,0.0,0.5,pso,15,263380.8467
8,8,20,0.0,0.5,pso,16,263049.3783
8,8,20,0.0,0.5,pso,17,263049.3783
8,8,20,0.0,0.5,pso,18,262839.5971
8,8,20,0.0,0.5,pso,19,262839.5971
8,8,20,0.0,0.5,pso,20,262839.5971
8,8,20,0.0,0.5,ga,0,263380.8467
8,8,20,0.0,0.5,ga,1,263380.8467
